id,title,year,venue,resource_type,publication_status,tracks,topics,workloads,why_read,source_url,venue_evidence_url,reading_status,presented_on,assistant_review,source_checked_on,note_path,release_date,release_date_type,release_date_source,read_version,added_on
orbitquant-2026,OrbitQuant: Data-Agnostic Quantization for Image and Video Diffusion Transformers,2026,arXiv,preprint,preprint,quantization,calibration-free;rotation;nonuniform-codebook;weight-activation-quantization,image-DiT;video-DiT;FLUX.1;Wan-2.1;CogVideoX,提供跨时间步范围校准之外的设计思路，可与现有静态尺度表方法比较数值表示和硬件代价。,https://arxiv.org/abs/2607.02461,https://arxiv.org/abs/2607.02461,unrecorded,,source_screened,2026-09-14,notes/orbitquant-2026.md,2026-07-02,arxiv_v1,https://arxiv.org/abs/2607.02461,v1 (2026-07-02),2026-09-14
holoq-vla-2026,HoloQ-VLA: Uniform W4A4 Quantization of Vision-Language-Action Models,2026,arXiv,preprint,preprint,quantization,rotation;per-step-scaling;weight-activation-quantization,VLA;pi0.5;GR00T-N1.5,把跨时间步校准与复合旋转结合，可与通用 DiT 方法和选择性 VLA 量化作比较。,https://arxiv.org/abs/2605.28803,https://arxiv.org/abs/2605.28803,unrecorded,,source_screened,2026-09-14,notes/holoq-vla-2026.md,2026-05-27,arxiv_v1,https://arxiv.org/abs/2605.28803,v3 (2026-08-11),2026-09-14
vim-q-2026,ViM-Q: Scalable Algorithm-Hardware Co-Design for Vision Mamba Model Inference on FPGA,2026,FCCM,paper,accepted,quantization;fpga-architecture,apot;dynamic-activation-quantization;state-recurrence;pipeline;runtime-configuration,Vision Mamba;state-space models;ImageNet classification,将动态量化、移位加法线性引擎与保留时序依赖的状态更新流水一起设计，补充 Transformer 之外的架构思路。,https://arxiv.org/abs/2605.01935,https://www.fccm.org/fccm-26-program/,unrecorded,,source_screened,2026-09-14,notes/vim-q-2026.md,2026-05-03,arxiv_v1,https://arxiv.org/abs/2605.01935,arXiv v1,2026-09-14
hgq-lut-2026,HGQ-LUT: Fast LUT-Aware Training and Efficient Architectures for DNN Inference,2026,FCCM,paper,accepted,quantization;fpga-architecture,lut-aware-training;mixed-precision;logic-lut;hybrid-architecture;hardware-cost-model,small DNN;jet classification;muon tracking;particle identification,把量化、LUT资源成本与实际电路生成连接起来，可作为量化目标如何反映硬件代价的开放参考。,https://arxiv.org/abs/2604.22293,https://www.fccm.org/fccm-26-program/,unrecorded,,source_screened,2026-09-14,notes/hgq-lut-2026.md,2026-04-24,arxiv_v1,https://arxiv.org/abs/2604.22293,arXiv v1,2026-09-14
graphleap-2026,GraphLeap: Decoupling Graph Construction and Convolution for Vision GNN Acceleration on FPGA,2026,FCCM,paper,accepted,fpga-architecture,dependency-relaxation;streaming;pipeline;memory;algorithm-hardware-codesign,Vision GNN;dynamic graph construction;ImageNet classification,展示如何通过改变跨层依赖让两个引擎重叠执行，可借鉴分析方法并检查改变模型语义的精度代价。,https://arxiv.org/abs/2604.21290,https://www.fccm.org/fccm-26-program/,unrecorded,,source_screened,2026-09-14,notes/graphleap-2026.md,2026-04-23,arxiv_v1,https://arxiv.org/abs/2604.21290,arXiv v1,2026-09-14
respinquant-2026,ReSpinQuant: Efficient Layer-Wise LLM Quantization via Subspace Residual Rotation Approximation,2026,ICML,paper,accepted,quantization,learned-rotation;residual-basis-alignment;low-rank-correction;weight-activation-quantization,LLM;Llama-2;Llama-3;Llama-3.2,把逐层旋转的表达能力与可折叠实现联系起来，直接延续 QuaRot/SpinQuant 的精度和在线成本问题。,https://arxiv.org/abs/2604.11080,https://icml.cc/virtual/2026/poster/61314,unrecorded,,source_screened,2026-09-14,notes/respinquant-2026.md,2026-04-13,arxiv_v1,https://arxiv.org/abs/2604.11080,v2 (2026-05-28),2026-09-14
6bit-diffusion-2026,6Bit-Diffusion: Inference-Time Mixed-Precision Quantization for Video Diffusion Models,2026,arXiv,preprint,preprint,quantization,mixed-precision;timestep-sensitivity;activation-quantization;temporal-cache,video-DiT;CogVideoX,把时间步敏感性、在线精度切换与缓存放到同一个系统中，有助于区分单纯量化和联合跳算的收益。,https://arxiv.org/abs/2603.18742,https://arxiv.org/abs/2603.18742,unrecorded,,source_screened,2026-09-14,notes/6bit-diffusion-2026.md,2026-03-19,arxiv_v1,https://arxiv.org/abs/2603.18742,v1 (2026-03-19),2026-09-14
quantvla-2026,QuantVLA: Scale-Calibrated Post-Training Quantization for Vision-Language-Action Models,2026,CVPR,paper,published,quantization,scale-calibration;attention;weight-activation-quantization,VLA;pi0.5;GR00T-N1.5,分析量化后的注意力和残差接口偏移，可与当前重构目标及校准方法比较。,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_QuantVLA_Scale-Calibrated_Post-Training_Quantization_for_Vision-Language-Action_Models_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_QuantVLA_Scale-Calibrated_Post-Training_Quantization_for_Vision-Language-Action_Models_CVPR_2026_paper.html,unrecorded,,source_screened,2026-09-14,notes/quantvla-2026.md,2026-02-23,arxiv_v1,https://arxiv.org/abs/2602.20309,arXiv v4 (2026-04-06); official CVPR proceedings metadata verified,2026-09-14
udp-2026,UDP: A Universal DSP Packing Framework for Low-bitwidth MAC Acceleration on FPGAs,2026,FPGA,paper,published,fpga-architecture,dsp-packing;low-bit-arithmetic;parameterized-hardware,low-bit MAC;neural-network matrix arithmetic,直接研究低比特乘法怎样利用 DSP，适合支撑 W4/A8 运算单元的精确吞吐记账。,https://doi.org/10.1145/3748173.3779194,https://www.isfpga.org/program/,unrecorded,,source_screened,2026-09-14,notes/udp-2026.md,2026-02-21,publisher_online,https://api.crossref.org/works/10.1145/3748173.3779194,Publisher abstract and author source code; full paper unavailable in this screening,2026-09-14
qvla-2026,QVLA: Not All Channels Are Equal in Vision-Language-Action Model's Quantization,2026,ICLR,paper,published,quantization,action-sensitivity;mixed-precision;weight-activation-quantization,VLA;OpenVLA;OpenVLA-OFT,用任务空间评价通道误差，为量化重构目标和混合位宽成本提供对照。,https://proceedings.iclr.cc/paper_files/paper/2026/hash/fa064215307efaad75bebc7a2e3194a4-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/hash/fa064215307efaad75bebc7a2e3194a4-Abstract-Conference.html,unrecorded,,source_screened,2026-09-14,notes/qvla-2026.md,2026-02-03,arxiv_v1,https://arxiv.org/abs/2602.03782,arXiv v1 (2026-02-03); official ICLR proceedings metadata verified,2026-09-14
mxfp-ptq-benchmark-2026,Benchmarking Post-Training Quantization of Large Language Models under Microscaling Floating Point Formats,2026,ACL,paper,published,quantization,microscaling;numerical-format;scale-quantization;benchmarking,LLM;MLLM;Qwen2.5-VL,用正式发表的横向研究说明量化算法效果依赖数值格式，同时提供语言与视觉模块分开比较的实例。,https://aclanthology.org/2026.acl-long.1854/,https://aclanthology.org/2026.acl-long.1854/,unrecorded,,source_screened,2026-09-14,notes/mxfp-ptq-benchmark-2026.md,2026-01-14,arxiv_v1,https://arxiv.org/abs/2601.09555,arXiv v1 (2026-01-14); official ACL metadata verified,2026-09-14
lut-llm-2026,LUT-LLM: Efficient Language Model Inference with Memory-based Computations on FPGAs,2026,FCCM,paper,accepted,quantization;fpga-architecture,vector-quantization;lookup-table;memory;dataflow;architecture,LLM;Qwen3-1.7B,研究向量联合量化如何把矩阵乘法转为查表，并比较查表容量、质心搜索、访存与混合时空执行的共同设计,https://arxiv.org/html/2511.06174v2,https://www.fccm.org/fccm-26-program/,unrecorded,,source_screened,2026-09-14,notes/lut-llm-2026.md,2025-11-09,arxiv_v1,https://arxiv.org/abs/2511.06174,arXiv v2 (2026-03-22),2026-09-14
quark-2025,QUARK: Quantization-Enabled Circuit Sharing for Transformer Acceleration by Exploiting Common Patterns in Nonlinear Operations,2025,ICCAD,paper,published,quantization;fpga-architecture,quantization;nonlinear-operators;integer-only;circuit-sharing;group-quantization,ViT;DeiT;Swin;BERT;RoBERTa,连接量化与 FPGA 非线性算子电路共享，可与 HG-PIPE 的低比特非线性实现及模块组织对照,https://arxiv.org/html/2511.06767v1,https://doi.org/10.1109/ICCAD66269.2025.11240736,unrecorded,,source_screened,2026-09-14,notes/quark-2025.md,2025-11-10,arxiv_v1,https://arxiv.org/abs/2511.06767,arXiv v1,2026-09-14
audio-dit-ptq-2025,Post-Training Quantization for Audio Diffusion Transformers,2025,WASPAA,paper,accepted,quantization,timestep-calibration;static-dynamic-scales;low-rank-correction,audio-DiT;Stable-Audio-Open,来自音频社区的跨方向补充，可用于讨论分步缩放的质量与在线成本，以及低秩补偿的适用边界。,https://arxiv.org/abs/2510.00313,https://waspaa.com/author-index/,unrecorded,,source_screened,2026-09-14,notes/audio-dit-ptq-2025.md,2025-09-30,arxiv_v1,https://arxiv.org/abs/2510.00313,v1 (2025-09-30),2026-09-14
